week_start_date,total_cases
32993,4
33000,5
33007,4
33014,3
33021,6
33028,2
33035,4
33042,5
33049,10
33056,6
33063,8
33070,2
33077,6
33084,17
33091,23
33098,13
33105,21
33112,28
33119,24
33126,20
33133,40
33140,27
33147,42
33154,33
33161,43
33168,37
33175,57
33182,71
33189,44
33196,56
33203,53
33210,52
33217,47
33224,26
33231,27
33239,21
33246,21
33253,26
33260,34
33267,37
33274,17
33281,19
33288,25
33295,18
33302,21
33309,17
33316,17
33323,16
33330,16
33337,15
33344,23
33351,16
33358,17
33365,12
33372,17
33379,10
33386,15
33393,19
33400,21
33407,14
33414,18
33421,13
33428,14
33435,18
33442,23
33449,25
33456,62
33463,60
33470,76
33477,66
33484,64
33491,68
33498,89
33505,92
33512,140
33519,116
33526,142
33533,129
33540,140
33547,140
33554,127
33561,129
33568,169
33575,141
33582,108
33589,78
33596,70
33604,81
33611,104
33618,90
33625,85
33632,55
33639,53
33646,65
33653,33
33660,38
33667,59
33674,40
33681,37
33688,29
33695,30
33702,30
33709,28
33716,23
33723,24
33730,29
33737,26
33744,23
33751,20
33758,19
33765,20
33772,26
33779,29
33786,31
33793,28
33800,26
33807,32
33814,35
33821,33
33828,30
33835,52
33842,59
33849,67
33856,65
33863,74
33870,70
33877,61
33884,53
33891,76
33898,61
33905,57
33912,44
33919,34
33926,47
33933,60
33940,60
33947,53
33954,36
33961,31
33970,30
33977,32
33984,28
33991,33
33998,33
34005,35
34012,22
34019,13
34026,13
34033,21
34040,17
34047,11
34054,8
34061,8
34068,6
34075,6
34082,7
34089,12
34096,17
34103,10
34110,10
34117,18
34124,19
34131,12
34138,22
34145,12
34152,21
34159,18
34166,16
34173,16
34180,22
34187,17
34194,25
34201,23
34208,12
34215,25
34222,28
34229,27
34236,18
34243,23
34250,23
34257,29
34264,38
34271,36
34278,43
34285,46
34292,31
34299,25
34306,40
34313,31
34320,38
34327,30
34335,22
34342,31
34349,26
34356,35
34363,36
34370,39
34377,25
34384,31
34391,37
34398,33
34405,25
34412,24
34419,18
34426,23
34433,13
34440,18
34447,14
34454,17
34461,22
34468,13
34475,24
34482,31
34489,34
34496,31
34503,31
34510,38
34517,49
34524,42
34531,49
34538,55
34545,80
34552,84
34559,72
34566,89
34573,115
34580,179
34587,202
34594,272
34601,302
34608,395
34615,426
34622,461
34629,381
34636,333
34643,353
34650,410
34657,364
34664,359
34671,288
34678,221
